Object number,Object name,Delta mag,separation (mas),color g-R ,color_g-R_error,color R-i,color R-i error,path,cycle_min,cycle_max,P_expected,reference P,download key
5144,Achates,0.5,500,0.3628,0.0254,0.3662,0.0203,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Achates,3.25,4.4,5.95,Stephens 2015,n
588,Achilles,0.5,500,0.3788,0.009,0.2322,0.0062,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Achilles,3.05,3.45,7.306,Shevchenko 2012,n
911,Agamemnon,0.5,500,0.373,0.0064,0.2798,0.0056,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Agamemnon,3.2,3.95,6.59,"French 2012,  Stephens 2009b ",n
1404,Ajax,0.5,500,0.291,0.0131,0.1947,0.0088,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Ajax,0.5,1.5,29.38, French 2011b ,n
2241,Alcathous,0.5,500,0.3246,0.0054,0.2964,0.0062,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Alcathous,1.05,4.5,7.69,Stephens 2015f ,n
1173,Anchises,0.5,500,0.49,0.015,0,0,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Anchises,1.05,6,11.6, French 1987,n
1172,Aneas,0.5,500,0.4103,0.0108,0.2778,0.0081,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Aneas,2.05,6,8.701, Stephens 2015f ,n
2207,Antenor,0.5,500,0.3204,0.0058,0.3104,0.0052,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Antenor,2.05,6,7.9,"Mottola 2011, Stephens 2016web",n
1583,Antilochus,0.5,500,0.4017,0.0062,0.3218,0.0061,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Antilochus,0.05,4,31.52, Stephens 2010c,n
1871,Astyanax,0.5,500,0.55,0.025,0,0,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Astyanax,3.05,3.95,6.52, Stephens 2014,n
2920,Automedon,0.5,500,0.3608,0.0135,0.3128,0.0069,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Automedon,2.05,2.95,10.2,Mottola 2011,n
2363,Cebriones,0.5,200,0.3993,0.011,0.3219,0.008,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Cebriones,0.05,6,20.5, Skiff 2012a ,n
1867,Deiphobus,0.5,500,0.6102,0.0239,0.2215,0.0288,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Deiphobus,0.25,2.5,58.66,Mottola 2011,n
1437,Diomedes,0.5,300,0.3246,0.0091,0.1869,0.0062,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Diomedes,0.55,0.995,24.49,Stephens 2009b,n
4489,Dracius,0.5,500,0.584,0.0323,0.3339,0.0183,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Dracius,1.05,1.98,12.58,Stephens 2016b ,n
4709,Ennomos,0.5,500,0.3708,0.0209,0.2715,0.0147,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Ennomos,0.5,4,12.27, Shevchenko 2012c,n
4063,Euforbo,0.4,400,0.371,0.0164,0.2883,0.0111,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Euforbo,1.05,4,8.84, Stephens 2016b ,n
3548,Eurybates,0.4,400,0.3504,0.023,0.1048,0.0179,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Eurybates,2.5,3.5,8.711,Mottola 2011,n
624,Hektor,0.5,500,0.4094,0.0074,0.2842,0.0053,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Hektor,3,3.7,6.928, Stephens 2014f ,n
3793,Leonteus,0.5,300,0.4163,0.0078,0.1463,0.0066,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Leonteus,3.7,4.7,5.6," Stephens 2016b , Motolla 2011",n
3063,Makhaon,0.5,200,0.3928,0.00926,0.2619,0.0065,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Makhaon,1.05,6,8.6,"Mottola 2011, Alkema 2013b ",n
3451,Mentor,0.4,300,0.3006,0.0052,0.1732,0.0052,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Mentor,2.75,3.5,7.7,Mottola 2011,n
659,Nestor,0.5,500,0.3449,0.00721,0.1613,0.0051,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Nestor,1.1,1.9,15.98, Mottola 2011 ,n
1143,Odysseus,0.5,500,0.3833,0.00927,0.2682,0.0067,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Odysseus,1.05,4.5,10.1," Molnar 2008b , Motolla 2011,  Stephens 2014f ,  Waszczak 2016 ",n
2456,Palamedes,0.4,400,0.3126,0.0139,0.2739,0.0103,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Palamedes,2.05,6,7.24, Stephens 2010c ,n
58931,Palmys,0.5,400,0.6363,0.09,0.2314,0.0556,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Palmys,1,3,11.3,Durech et al 2018,n
2674,Pandarus,0.4,400,0.3974,0.012,0.2902,0.0079,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Pandarus,2.05,6,8.48, French 1987 ,n
3317,Paris,0.8,500,0.3847,0.033,0.3056,0.0202,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Paris,2.05,5.5,7.082, Mottola 2011 ,n
617,Patroclus,0.5,500,0.51,0.01,0,0,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Patroclus,0.1,0.3,102.8, Marchis 2006a ,n
2357,Phereclos,0.4,300,0.4203,0.0233,0.2349,0.0135,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Phereclos,1.05,4,14.4, Mottola 2011 ,n
3709,Polypoites,0.5,300,0.3779,0.0094,0.2958,0.0054,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Polypoites,1.3,3.5,14.19, Stephens 2016b ,n
884,Priamus,0.5,500,0.3401,0.0115,0.2874,0.0081,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Priamus,3.05,3.9,6.85," Stephens 2015f ,  Shevchenko 2012a ",n
2223,Sarpedon,0.4,320,0,0,0.3767,0.01,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Sarpedon,1.05,4,22.7, Mottola 2011 ,n
2797,Teucer,0.5,400,0.301,0.0108,0.2928,0.0058,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Teucer,2.05,2.95,10.1," Stephens 2014f ,  French 2011b ",n
4834,Thoas,0.5,450,0,0,0.4979,0.0227,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Thoas,1.05,2.5,18.2," Stephens 2016b ,  French 2011b ",n
1208,Troilus,0.5,350,0.2896,0.0334,0.2374,0.0217,/media/flavia/TOSHIBA EXT/ZTF_sicardy_colloquim_data/Troilus,0.2,4,56.17, Molnar 2008b  ,n
